,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
6,3,1,1,1,0,1,2,0,3,4,5,1,0,0,1,1,0,0,0,1,2,0,3,4,5,3,-1,-1,1.5
7,3,1,1,1,0,1,2,0,3,4,5,1,0,0,1,0,0,1,0,1,2,0,3,4,5,4,-1,-1,1.5
8,3,0,1,0,0,1,2,0,3,4,5,1,1,0,0,0,0,0,0,1,2,0,3,4,5,4,-1,-1,1.5
9,3,0,1,0,0,1,2,0,3,4,5,1,0,1,0,0,0,0,0,1,2,0,3,4,5,6,-1,-1,1.5
10,3,2,2,2,0,1,2,2,3,2,4,0,0,0,0,0,0,0,0,1,2,2,3,2,4,7,-1,-1,1
2,4,1,1,0,0,1,2,3,4,5,6,1,1,0,1,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,4,1,1,0,0,1,2,2,3,4,5,1,0,0,0,1,0,1,0,1,2,2,3,4,5,2,-1,-1,1
4,4,1,1,1,0,1,2,2,3,4,5,1,1,0,0,0,0,0,0,0,1,1,2,3,4,3,-1,-1,1.5
5,4,1,1,0,0,0,1,1,2,3,2,1,0,0,1,1,0,0,0,0,1,1,2,3,2,4,-1,-1,1.5
6,4,1,1,0,0,0,1,1,2,3,2,1,1,0,1,1,0,1,0,0,1,1,2,3,2,5,-1,-1,1.5
7,4,1,1,0,0,0,1,1,2,3,2,1,1,0,1,1,0,1,0,0,1,1,2,3,2,6,-1,-1,1.5
8,4,1,1,1,0,0,1,1,2,3,2,1,1,0,0,1,0,1,0,0,1,1,2,3,2,7,-1,-1,1.5
9,4,2,2,2,0,0,1,1,2,3,2,0,0,0,0,0,0,0,0,0,1,1,2,3,2,10,-1,-1,1.5
2,5,1,1,1,0,1,2,3,4,5,6,1,0,0,1,0,0,0,0,1,2,0,3,4,5,1,-1,-1,1.5
3,5,2,2,2,0,1,2,0,3,4,5,0,0,0,0,0,0,0,0,1,2,0,3,4,5,1,-1,-1,1.5
2,6,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,6,1,-1,-1,1
